Count,coordinates
67,"[23.9343,88.2602]"
6,"[23.9433,76.0868]"
88,"[23.9476,87.6787]"
93,"[23.9595,88.0402]"
94,"[23.9924,85.3616]"
17,"[24.0,87.5833]"
7,"[24.0,88.0]"
10,"[24.0242,81.3783]"
6,"[24.0268,74.7814]"
235,"[24.0305,88.4477]"
68,"[24.0323,72.4006]"
6,"[24.0338,73.0508]"
122,"[24.0397,78.3295]"
185,"[24.0718,75.0699]"
11,"[24.0735,75.6538]"
230,"[24.0791,87.9947]"
154,"[24.0796,91.5997]"
5,"[24.0921,72.3916]"
122,"[24.1024,88.2508]"
35,"[24.1066,77.6887]"
1,"[24.1103,84.8012]"
62,"[24.112,87.7972]"
58,"[24.1471,87.8442]"
3,"[24.1536,88.4631]"
415,"[24.1739,72.4349]"
252,"[24.183,86.3137]"
399,"[24.1844,88.2673]"
1756,"[24.1997,82.6753]"
4,"[24.2279,92.6841]"
10,"[24.2687,87.2521]"
21,"[24.301,87.8285]"
14,"[24.3166,77.0548]"
1,"[24.3361,93.6719]"
91,"[24.3543,74.239]"
3,"[24.3829,74.6951]"
5,"[24.4073,77.1364]"
3,"[24.4084,78.0959]"
15,"[24.4248,88.2543]"
2,"[24.47,88.0766]"
14,"[24.4801,72.7819]"
105,"[24.489,86.7029]"
27,"[24.4991,93.7831]"
40,"[24.5329,81.2842]"
24,"[24.5729,74.9646]"
93,"[24.5772,80.8292]"
3344,"[24.5858,73.7135]"
1,"[24.5937,72.7176]"
80,"[24.5958,76.1659]"
7,"[24.6085,76.4294]"
6,"[24.6208,74.6839]"
10,"[24.6231,84.1715]"
1,"[24.6283,76.993]"
1,"[24.6415,83.1049]"
4,"[24.6469,77.3113]"
9,"[24.6813,87.9535]"
6,"[24.6901,78.4192]"
289,"[24.7558,93.882]"
251,"[24.7969,85.0038]"
1454,"[24.8086,93.9418]"
188,"[24.8169,87.9045]"
11,"[24.8169,93.9516]"
198,"[24.8273,92.7979]"
21,"[24.8317,83.2642]"
156,"[24.8527,77.5975]"
130,"[24.8653,92.3566]"
61,"[24.8867,85.5436]"
27,"[24.8898,74.6297]"
24,"[24.8903,72.8508]"
15,"[24.8933,74.3159]"
253,"[24.919,79.5849]"
46,"[24.9243,86.2334]"
9,"[24.9381,73.8239]"
43,"[24.9411,81.9813]"
49,"[24.948,84.0102]"
1,"[24.9992,72.2688]"
832,"[25.0015,88.15]"
257,"[25.0714,73.8798]"
3,"[25.08,72.291]"
1,"[25.1171,94.3677]"
2,"[25.1278,82.8821]"
14,"[25.1421,73.9815]"
16,"[25.1632,93.0168]"
732,"[25.1825,75.8391]"
6,"[25.1868,73.4556]"
161,"[25.2008,85.5239]"
4,"[25.2103,84.2506]"
2,"[25.2152,80.9173]"
2,"[25.2181,85.2332]"
216,"[25.221,88.7773]"
1,"[25.243,84.6616]"
1959,"[25.2445,86.9718]"
5,"[25.2464,87.6342]"
359,"[25.284,87.9515]"
54,"[25.2864,86.0122]"
3674,"[25.3144,83.0053]"
4,"[25.3365,85.6872]"
366,"[25.3471,74.6408]"
1,"[25.3629,82.9257]"
12,"[25.3749,86.47]"
4,"[25.3881,87.0991]"
104,"[25.3953,82.5703]"
8,"[25.399,88.533]"
25,"[25.4185,86.1339]"
47,"[25.4214,86.3144]"
5,"[25.4229,77.6676]"
9,"[25.4334,82.4422]"
2,"[25.4409,75.6406]"
2914,"[25.4448,81.8432]"
153,"[25.4589,78.5799]"
27,"[25.4897,84.5406]"
1349,"[25.5022,86.4671]"
13,"[25.5088,90.2061]"
19,"[25.5406,87.5667]"
114,"[25.5641,85.9808]"
1202,"[25.5689,91.8831]"
3,"[25.5755,83.9804]"
52,"[25.5833,83.5853]"
9038,"[25.5908,85.1348]"
17,"[25.5941,83.1812]"
31,"[25.6005,85.1147]"
4077,"[25.6109,88.1161]"
439,"[25.6747,94.111]"
331,"[25.6884,85.2115]"
39,"[25.6921,81.7787]"
4,"[25.6956,85.168]"
1140,"[25.7434,71.3986]"
382,"[25.7536,82.6869]"
27,"[25.7601,84.1477]"
33,"[25.7713,73.3195]"
86,"[25.78,87.47]"
333,"[25.7838,84.7468]"
112,"[25.7843,87.4753]"
1,"[25.8167,72.2167]"
3,"[25.8342,72.2467]"
46,"[25.8622,85.7795]"
45,"[25.8689,85.1739]"
16,"[25.8719,87.8358]"
4,"[25.8749,73.5644]"
34,"[25.875,86.5961]"
4,"[25.8843,78.3363]"
34,"[25.8894,81.9391]"
128,"[25.9169,93.7274]"
1,"[25.9261,83.3994]"
74,"[25.9315,82.6495]"
25,"[25.9395,83.5628]"
14,"[25.9861,79.4494]"
3,"[26.0,93.0]"
23,"[26.0032,92.8554]"
2,"[26.0108,80.3075]"
27,"[26.0242,76.3376]"
12,"[26.0265,73.9114]"
10,"[26.0503,82.6808]"
21,"[26.063,75.0066]"
100,"[26.068,83.1885]"
271,"[26.0833,94.5]"
9,"[26.0979,74.3228]"
17,"[26.1022,87.9553]"
45,"[26.1173,86.5956]"
129,"[26.1192,85.3963]"
5,"[26.1309,91.8049]"
145,"[26.136,89.4634]"
40,"[26.1487,85.8973]"
48,"[26.1519,87.5162]"
3,"[26.1607,81.8034]"
26,"[26.1632,75.7919]"
27,"[26.1691,91.6771]"
5,"[26.1711,84.8053]"
9,"[26.1833,91.7333]"
10462,"[26.1833,91.7454]"
112,"[26.221,84.3561]"
1062,"[26.2298,78.1734]"
3,"[26.2328,90.2341]"
6,"[26.2333,92.9833]"
28,"[26.2377,81.2352]"
2,"[26.2443,91.5263]"
3,"[26.2464,92.3547]"
6090,"[26.2684,73.0059]"
49,"[26.2831,72.6321]"
1,"[26.3018,74.7329]"
5,"[26.3138,89.6665]"
64,"[26.3234,94.5249]"
2,"[26.3299,91.0103]"
24,"[26.3537,86.0717]"
18,"[26.405,90.2771]"
299,"[26.4521,74.6387]"
39,"[26.4642,79.5052]"
6560,"[26.4652,80.3498]"
139,"[26.4673,84.4404]"
2,"[26.4698,86.147]"
3,"[26.4876,74.5544]"
1318,"[26.4961,77.0337]"
34,"[26.4988,90.9661]"
66,"[26.5017,83.7794]"
2,"[26.5142,91.1831]"
35,"[26.5145,93.9594]"
495,"[26.5167,88.7333]"
27,"[26.5471,80.4878]"
3,"[26.5601,81.1776]"
2,"[26.5765,85.9015]"
21,"[26.5803,73.8359]"
46,"[26.5901,74.854]"
254,"[26.5908,85.4936]"
208,"[26.6333,92.8]"
18,"[26.6527,91.9125]"
85,"[26.6987,76.392]"
10,"[26.7021,92.4813]"
2087,"[26.71,88.4285]"
115,"[26.7211,93.1406]"
38,"[26.734,77.0308]"
190,"[26.7565,94.2062]"
28,"[26.7622,79.22]"
196,"[26.7677,83.3686]"
6,"[26.7719,83.0698]"
301,"[26.7755,82.1502]"
13,"[26.7762,79.0213]"
26,"[26.792,89.0246]"
24,"[26.8017,79.5083]"
147,"[26.8023,84.5031]"
17,"[26.8249,85.1273]"
10950,"[26.8371,80.9206]"
52,"[26.8471,88.7517]"
14,"[26.8829,93.6152]"
147,"[26.8861,88.7937]"
11,"[26.8909,76.3439]"
159,"[26.9087,83.1001]"
192,"[26.9095,77.2887]"
79,"[26.9126,75.7441]"
7,"[26.9141,76.8193]"
16,"[26.9165,70.904]"
1,"[26.9202,94.7531]"
18398,"[26.9204,75.7882]"
42,"[26.9906,94.6352]"
55,"[27.0333,88.2667]"
41,"[27.045,76.5735]"
14,"[27.0603,79.9157]"
32,"[27.0706,88.4753]"
2131,"[27.0834,93.6097]"
46,"[27.0983,84.5492]"
41,"[27.1038,84.4618]"
20,"[27.1047,93.6952]"
4,"[27.1072,88.3215]"
307,"[27.1226,72.369]"
95,"[27.1488,74.8579]"
1,"[27.1659,95.7778]"
17,"[27.1728,81.2106]"
2,"[27.1741,84.5527]"
1412,"[27.1802,78.0171]"
12,"[27.1899,95.3232]"
1,"[27.1977,73.7304]"
2869,"[27.2173,77.4901]"
15,"[27.2285,78.0122]"
14,"[27.2286,79.0332]"
14,"[27.2413,94.1034]"
649,"[27.3257,88.6122]"
28,"[27.3913,79.5793]"
37,"[27.3949,80.1316]"
8,"[27.4799,94.9084]"
18,"[27.4833,94.5833]"
5,"[27.4851,95.3591]"
15,"[27.4865,95.4365]"
757,"[27.5035,77.6722]"
76,"[27.5076,88.5259]"
41,"[27.5588,78.6569]"
1306,"[27.5625,76.625]"
22,"[27.5693,81.6017]"
12,"[27.5811,77.6966]"
25,"[27.5955,78.052]"
434,"[27.6121,75.14]"
4,"[27.6893,78.3843]"
5,"[27.6943,74.4625]"
214,"[27.7047,76.1973]"
1,"[27.7321,75.4743]"
2,"[27.8345,77.882]"
13,"[27.8504,75.2661]"
889,"[27.8796,78.0762]"
40,"[27.8817,79.9092]"
2,"[27.892,77.3642]"
24,"[27.8922,76.2751]"
54,"[27.938,77.8389]"
819,"[28.0176,73.3149]"
78,"[28.0381,79.1267]"
24,"[28.0444,76.1083]"
83,"[28.0698,76.5866]"
518,"[28.0822,74.6171]"
2,"[28.103,77.0014]"
35,"[28.1417,95.8436]"
66,"[28.1447,77.3255]"
2,"[28.1872,76.3809]"
534,"[28.199,76.6183]"
121,"[28.2102,76.8606]"
75,"[28.2642,78.4056]"
2,"[28.272,76.1555]"
44,"[28.3043,75.2878]"
38,"[28.3056,74.9613]"
28,"[28.3229,76.7751]"
126,"[28.3374,77.32]"
532,"[28.3652,79.4288]"
139,"[28.3672,75.6035]"
889,"[28.4066,77.8653]"
5907,"[28.4127,77.3136]"
76,"[28.4476,74.4953]"
19047,"[28.4597,77.0282]"
26,"[28.4666,77.0309]"
3510,"[28.4962,77.536]"
3,"[28.4996,77.3044]"
2,"[28.569,77.4372]"
2,"[28.5735,77.3208]"
20911,"[28.5788,77.3321]"
15,"[28.585,78.5732]"
5,"[28.6014,77.1989]"
12,"[28.6063,76.6565]"
15,"[28.6092,76.9777]"
1,"[28.6106,77.0144]"
4,"[28.6224,76.7425]"
2,"[28.6238,76.9158]"
60657,"[28.6331,77.2207]"
21,"[28.6407,77.3692]"
54653,"[28.6504,77.2372]"
8,"[28.6589,77.176]"
11031,"[28.665,77.4421]"
3,"[28.6658,77.2844]"
2,"[28.6763,78.1471]"
1,"[28.6769,79.3344]"
5,"[28.6796,77.068]"
121,"[28.6805,77.2263]"
668,"[28.6929,76.9356]"
3,"[28.695,77.2814]"
3,"[28.7036,77.1763]"
51,"[28.7067,77.8309]"
47,"[28.7298,77.7807]"
6,"[28.7343,76.2266]"
79,"[28.7563,77.196]"
347,"[28.793,76.1397]"
1,"[28.806,79.5363]"
1953,"[28.8395,78.7699]"
86,"[28.8537,77.0957]"
256,"[28.8895,79.0032]"
1140,"[28.8964,76.5909]"
2,"[28.91,76.4767]"
174,"[28.9121,79.5246]"
3,"[28.9181,79.9735]"
37,"[28.9321,79.7017]"
2950,"[28.98,77.7064]"
1366,"[28.9933,77.021]"
1,"[29.0372,79.2262]"
197,"[29.0497,79.5162]"
3,"[29.0574,75.9779]"
3,"[29.0724,79.5118]"
36,"[29.1027,75.9664]"
2,"[29.1079,77.2649]"
22,"[29.1208,76.6474]"
17,"[29.1378,76.7025]"
153,"[29.1501,75.7176]"
27,"[29.1523,79.1043]"
197,"[29.1899,77.9309]"
2,"[29.192,73.2124]"
696,"[29.214,78.9569]"
195,"[29.2225,79.5286]"
2,"[29.2784,77.733]"
119,"[29.2792,78.828]"
31,"[29.2972,77.9031]"
56,"[29.3132,78.5045]"
2829,"[29.3158,76.315]"
28,"[29.3215,73.8998]"
31,"[29.3366,78.1786]"
1,"[29.3646,75.9098]"
33,"[29.373,78.1364]"
1701,"[29.3885,76.9669]"
603,"[29.3974,79.4469]"
9,"[29.406,76.6704]"
14,"[29.4281,77.0454]"
1293,"[29.4447,78.1914]"
3,"[29.4449,78.4439]"
1,"[29.4497,77.3096]"
257,"[29.4709,77.7033]"
176,"[29.5369,73.4457]"
70,"[29.5386,75.0272]"
2,"[29.5459,79.3738]"
62,"[29.5818,74.3294]"
250,"[29.5835,80.2095]"
32,"[29.5971,79.6591]"
333,"[29.5987,76.1212]"
116,"[29.6173,76.9775]"
12,"[29.6193,78.3389]"
716,"[29.6923,76.986]"
143,"[29.6958,77.6745]"
75,"[29.7174,76.8268]"
26,"[29.7229,75.3409]"
4,"[29.7388,76.9724]"
9,"[29.7475,78.5284]"
2,"[29.7782,79.4228]"
54,"[29.8015,76.3996]"
5,"[29.8331,77.7831]"
11,"[29.8362,76.9345]"
617,"[29.8675,77.8847]"
106,"[29.8991,77.9431]"
676,"[29.9479,78.1603]"
31,"[29.9487,74.7387]"
45,"[29.9639,74.6984]"
824,"[29.9657,76.837]"
828,"[29.9679,77.5452]"
18,"[29.9728,76.5786]"
5,"[30.0012,76.727]"
10,"[30.0819,75.2532]"
210,"[30.1078,78.2926]"
1839,"[30.128,77.2837]"
209,"[30.1287,75.7967]"
79,"[30.1445,74.1955]"
233,"[30.1551,78.7796]"
58,"[30.1719,77.3089]"
1,"[30.2008,74.6687]"
852,"[30.2075,74.9389]"
1,"[30.2224,78.7834]"
50,"[30.2315,77.3799]"
30,"[30.2446,75.848]"
73,"[30.2534,79.251]"
5,"[30.2795,75.2419]"
1,"[30.2878,78.9846]"
62,"[30.2884,74.5458]"
212,"[30.3068,78.0646]"
4516,"[30.322,78.03]"
3021,"[30.3362,76.3922]"
873,"[30.3594,76.7935]"
1,"[30.3729,78.4346]"
346,"[30.3745,75.5487]"
27,"[30.3758,76.1529]"
12,"[30.447,74.8943]"
54,"[30.455,78.0707]"
343,"[30.4732,74.5154]"
10,"[30.4786,76.5928]"
261,"[30.5296,75.8842]"
1,"[30.5603,77.2943]"
18,"[30.5837,74.8345]"
12,"[30.609,76.2327]"
3,"[30.6103,74.8025]"
167,"[30.6371,76.2904]"
13,"[30.6423,75.6004]"
18,"[30.6432,76.3842]"
44,"[30.6759,74.7591]"
7599,"[30.6817,76.7206]"
2582,"[30.6946,76.8504]"
17,"[30.7055,76.222]"
145,"[30.7271,76.7379]"
12,"[30.7276,78.4443]"
6022,"[30.7366,76.7925]"
446,"[30.7432,76.6536]"
13,"[30.7509,75.4848]"
2,"[30.7638,76.9562]"
14,"[30.7876,76.3897]"
7,"[30.7906,75.4674]"
1,"[30.7914,76.5013]"
268,"[30.8138,75.1688]"
16,"[30.8381,76.5817]"
82,"[30.8589,75.8011]"
33,"[30.8968,75.8485]"
10,"[30.9011,76.963]"
1614,"[30.9085,77.1022]"
3,"[30.9124,76.201]"
5395,"[30.9146,75.8543]"
13,"[30.9167,75.4167]"
190,"[30.9578,76.7914]"
513,"[30.969,76.5269]"
107,"[30.9727,75.7596]"
16,"[31.0226,75.7921]"
1,"[31.0499,75.6544]"
851,"[31.1034,77.1659]"
10,"[31.1281,75.7732]"
31,"[31.1299,75.4747]"
8,"[31.1551,77.7016]"
28,"[31.1887,75.995]"
91,"[31.219,76.1437]"
269,"[31.2281,75.7787]"
2651,"[31.3247,75.5811]"
410,"[31.3303,76.7566]"
1,"[31.3809,75.1066]"
195,"[31.3842,75.3878]"
121,"[31.3888,77.0582]"
178,"[31.3897,76.3757]"
97,"[31.4349,75.6589]"
66,"[31.4416,75.5031]"
24,"[31.4458,76.7177]"
48,"[31.4519,74.9278]"
2,"[31.5017,75.0901]"
76,"[31.5151,75.2976]"
352,"[31.5404,75.9135]"
973,"[31.6243,74.8769]"
59,"[31.6841,76.5251]"
363,"[31.7126,76.9328]"
148,"[31.787,75.4524]"
18,"[31.8092,75.2029]"
1,"[31.8144,75.6614]"
236,"[31.8265,75.3785]"
5,"[31.8634,77.144]"
1,"[31.913,76.3847]"
2,"[31.9536,75.3229]"
8,"[31.9561,75.6212]"
68,"[32.0393,75.4032]"
34,"[32.0883,76.2645]"
6,"[32.0997,76.0513]"
38,"[32.1079,76.3816]"
236,"[32.1145,76.5568]"
40,"[32.2201,76.3201]"
11,"[32.2541,77.175]"
282,"[32.2748,75.6529]"
13,"[32.3054,75.8851]"
228,"[32.3694,75.5254]"
23,"[32.5553,76.1265]"
62,"[32.5662,75.1283]"
1980,"[32.7376,74.8673]"
13,"[32.9261,75.1346]"
10,"[33.1516,75.5506]"
47,"[33.7133,74.3859]"
9,"[33.7322,75.1538]"
2205,"[34.0857,74.8055]"
