Count,coordinates
237,"[13.641,79.421]"
4,"[13.7095,75.8138]"
1,"[13.7585,79.6997]"
448,"[13.8211,77.4938]"
5,"[13.8535,75.5397]"
8,"[13.9159,75.0613]"
27,"[13.9237,79.761]"
253,"[13.9316,75.5679]"
12,"[13.9402,79.0065]"
1,"[13.9583,79.5773]"
4,"[13.9588,79.3545]"
3,"[13.9824,74.5523]"
1,"[14.0599,78.7471]"
3,"[14.1093,78.1538]"
9,"[14.1418,77.9826]"
13,"[14.1649,75.0332]"
48,"[14.1658,77.8155]"
5,"[14.2237,76.4021]"
1,"[14.2398,75.6451]"
6,"[14.3218,76.6488]"
9,"[14.335,75.6212]"
1,"[14.4114,75.114]"
26,"[14.414,77.7184]"
46,"[14.4288,74.4227]"
646,"[14.4499,79.987]"
185,"[14.4663,75.9186]"
180,"[14.48,78.8235]"
11,"[14.5227,76.3368]"
12,"[14.6207,74.8355]"
125,"[14.6224,75.6295]"
18,"[14.6701,75.8322]"
257,"[14.6771,77.6138]"
79,"[14.7502,78.5481]"
5,"[14.7783,78.589]"
34,"[14.7932,75.4035]"
5,"[14.8136,74.1297]"
9,"[14.9163,79.9945]"
6,"[14.9325,77.8417]"
14,"[15.0507,73.9814]"
93,"[15.142,76.924]"
2,"[15.1709,77.3583]"
2,"[15.1768,73.9908]"
3,"[15.1807,73.9712]"
3,"[15.2033,74.1675]"
1011,"[15.2321,74.1493]"
5,"[15.2329,73.9427]"
21,"[15.2334,80.027]"
101,"[15.2563,73.9645]"
104,"[15.2672,74.1084]"
56,"[15.2695,76.3871]"
877,"[15.2742,73.9956]"
38,"[15.275,73.9579]"
92,"[15.2785,74.0236]"
184,"[15.2798,73.9228]"
185,"[15.2833,74.05]"
338,"[15.3333,74.0833]"
131,"[15.3452,76.1548]"
5129,"[15.3459,75.1301]"
1,"[15.3495,76.4956]"
67,"[15.3548,73.9245]"
1,"[15.3839,79.6324]"
17,"[15.3868,73.8137]"
15,"[15.3926,77.2275]"
62,"[15.3958,73.8157]"
643,"[15.4034,74.0152]"
11,"[15.4087,79.5047]"
30,"[15.4094,76.5976]"
475,"[15.4223,75.6312]"
8,"[15.4441,73.8895]"
331,"[15.4601,75.0078]"
11,"[15.4706,73.8364]"
14,"[15.478,78.4836]"
24,"[15.4823,73.8354]"
430,"[15.4852,73.9257]"
573,"[15.5017,73.8225]"
110,"[15.5036,80.0445]"
5,"[15.5181,73.7626]"
8,"[15.5343,73.9675]"
48,"[15.5439,73.7553]"
102,"[15.5567,73.7927]"
4,"[15.58,73.7449]"
16,"[15.5835,73.7885]"
616,"[15.6031,73.7636]"
2,"[15.6277,76.8955]"
10,"[15.6994,75.7341]"
315,"[15.7276,80.0226]"
1,"[15.7353,79.2685]"
32,"[15.7747,79.6779]"
91,"[15.7803,79.3639]"
34,"[15.8239,80.3522]"
118,"[15.8289,78.036]"
857,"[15.8521,74.5045]"
5,"[15.8567,78.2657]"
1475,"[15.8584,73.6291]"
42,"[15.8623,74.5052]"
29,"[15.9084,80.4663]"
273,"[15.9572,76.1184]"
2,"[15.9581,76.6569]"
44,"[16.0135,76.4386]"
24,"[16.0162,73.6937]"
74,"[16.0201,80.9172]"
2,"[16.0526,79.7323]"
3,"[16.0598,73.4629]"
16,"[16.0686,80.5523]"
73,"[16.1666,73.7019]"
224,"[16.1875,81.1389]"
